"45000","South Carolina",1170440,1195991,1214524,1261975,1327545,1364918,1326160,1376441,1411204,1466342,1507001,1523489,1536244,1513855,1547496,1624992,1655111,1697186,1738122,1809013,1858308,1912747,1886170,1897465,1931459,1978983,2038053,2080349,2140786,2194685,2239869,2274642,2243659
"46000","South Dakota",303105,304839,306132,309069,322850,326414,326343,335977,342003,354884,359364,352638,347563,344303,352537,362378,364778,366030,381298,387779,395870,409374,420472,431189,442481,464396,472046,479226,484646,493668,505253,515569,511524
"47000","Tennessee",1788719,1784919,1816596,1923756,2024714,2054692,1983267,2052396,2135018,2227104,2278894,2259204,2255061,2217235,2239467,2343854,2398866,2477304,2577879,2663338,2734816,2777416,2777569,2837263,2942948,3061304,3144656,3194784,3269258,3353087,3408985,3471266,3433689
"48000","Texas",5005193,5045435,5123138,5333823,5608047,5822056,5938330,6206757,6520814,6900142,7214707,7495945,7900274,8074282,8064275,8433673,8673542,8514204,8723023,8880181,9005310,9242899,9403936,9482932,9780517,10098087,10439859,10737590,11165358,11570085,11800215,12151442,12211172
"49000","Utah",443665,454612,466945,494083,522552,544692,552699,580312,612694,651311,677997,687159,696877,706930,719110,761202,788568,801192,830377,865051,897166,938218,960860,978690,1025991,1102315,1150220,1217605,1269877,1308757,1338209,1377859,1379705
"50000","Vermont",202578,205015,205729,211203,219986,222240,220329,228487,236484,251752,260666,265617,269991,271068,277388,288739,300062,311372,320497,334186,341223,340784,334190,341722,349250,358528,361825,367074,372613,382633,390553,401138,404860
"51000","Virginia",2147852,2157657,2196371,2263423,2384496,2450799,2425437,2501192,2584568,2697755,2767118,2796505,2811756,2823682,2896818,3041492,3181471,3316133,3479609,3558017,3655230,3699593,3641765,3657380,3730015,3813122,3902673,3983418,4081750,4155705,4246845,4373557,4410040
"53000","Washington",1538783,1491143,1456722,1480987,1558344,1621514,1658770,1738939,1815067,1938600,2057909,2104574,2118874,2093972,2140060,2213531,2277144,2351448,2470016,2599556,2717905,2842491,2877018,2906917,2950534,3059952,3101334,3192307,3298010,3378586,3441706,3522932,3519948
"54000","West Virginia",651782,659514,669717,683606,699804,711453,717096,739036,757752,780911,790391,782029,761627,740403,721543,732296,731881,731131,738242,750513,757104,777862,778768,789331,801180,822271,838498,846837,858297,872756,871886,880154,877543
"55000","Wisconsin",1943518,1953931,1957393,2014337,2116012,2158611,2147925,2211407,2293198,2380482,2460477,2442970,2415039,2372990,2375985,2466771,2495453,2537323,2604573,2683663,2740050,2814229,2840450,2893937,2949696,3040287,3119622,3170631,3225761,3281667,3346421,3404577,3387304
"56000","Wyoming",157954,159384,164883,172302,182288,193767,202679,214096,230589,249813,266229,278978,289465,286715,274024,275951,276585,263687,258441,263690,265401,270832,277118,279892,284727,297590,300566,303695,306690,313121,316462,325674,330878
