LAUST15000005	372262	386127	394315	406448	419753	428519	432473	444018	451382	459416	473494	492721	503770	515233	537620	547351	551563	556331	555749	557042	561683	566766	570152	576314	584858	589216	584354	592469	598175	609835	617807	620107(G)	617642(G)	593860(G)	604522(D)
LAUST16000005	351792	373742	391245	402863	396282	398252	398844	410985	428790	428935	432278	435599	448856	461608	467102	476531	493767	516307	552354	567558	581191	598004	614748	620962	632451	644816	646142	652161	666080	695428	718077	727728(G)	721876(G)	696382(G)	696515(D)
LAUST17000005	4802933	4949882	5099452	5171268	5082271	5114649	4964767	4938769	5108266	5148973	5223212	5337602	5461544	5644792	5560548	5493554	5546722	5625103	5766671	5857677	5907278	5988296	6047050	6143130	6176837	6113536	5969393	5916830	5968561	6033421	6225095	6322029(G)	6242636(G)	5927434(G)	5910743(D)
LAUST18000005	2284619	2351509	2447771	2475512	2373809	2365780	2288118	2297209	2408856	2473721	2535002	2583196	2655524	2719282	2688858	2657957	2703403	2800739	2911781	2977440	2982750	3014499	3033444	3046922	3052719	3020985	3002515	2997847	2997800	3032108	3080047	3081532(G)	3057489(G)	2874194(G)	2856417(D)
LAUST19000005	1284185	1327851	1359510	1365873	1350142	1326714	1299681	1301402	1313734	1315518	1345904	1374350	1417443	1433321	1393302	1408730	1441414	1480417	1510253	1527972	1551200	1555837	1556479	1560848	1557081	1568638	1567836	1537341	1534991	1557545	1595136	1603626(G)	1607027(G)	1570278(G)	1565018(D)
LAUST20000005	1030125	1066860	1103688	1130384	1136602	1142125	1102454	1114583	1138700	1160675	1176462	1197875	1215080	1227940	1215102	1225007	1244438	1257847	1279098	1296202	1311843	1329797	1348793	1359908	1351988	1347715	1350960	1364787	1381343	1390292	1403938	1411384(G)	1415467(G)	1399356(G)	1397208(D)
LAUST21000005	1415732	1459285	1492258	1513765	1524710	1517346	1504720	1514224	1544894	1549162	1559365	1572029	1593312	1623638	1640875	1639343	1658511	1689100	1729483	1757111	1777259	1809785	1832775	1854270	1866348	1852056	1838495	1848059	1854703	1875512	1904467	1923728(G)	1903511(G)	1844151(G)	1849404(D)
LAUST22000005	1425882	1488492	1558080	1609541	1655477	1695478	1680499	1686148	1747918	1761420	1721034	1718394	1725937	1745552	1767306	1789796	1787541	1738570	1785654	1820359	1855474	1890102	1918907	1926732	1930662	1922110	1892636	1898829	1928464	1935850	1900240	1934340(G)	1964805(G)	1914974(G)	1915344(D)
LAUST23000005	435744	441823	456381	467466	468554	476094	477465	490350	516300	523928	535662	557257	571534	584292	597902	590604	594082	589800	589073	601565	617479	624410	627920	641351	650385	650699	650943	650458	653847	658507	665856	666350(G)	665463(G)	642593(G)	643244(D)
LAUST24000005	1790626	1852628	1935453	1986059	1999598	2007801	2001682	2038581	2121945	2164022	2238594	2303303	2359898	2423440	2465249	2466378	2484910	2501515	2545413	2572708	2615584	2646200	2661192	2687843	2711382	2712268	2733103	2741325	2761583	2825040	2892733	2885456(G)	2896248(G)	2805817(G)	2817830(D)
LAUST25000005	2458306	2541441	2635115	2706845	2721430	2749062	2729293	2763148	2886782	2924626	2957321	3009900	3051355	3057019	3022393	2916293	2899718	2940565	2989123	3029360	3083332	3158851	3208988	3245761	3273281	3275343	3243409	3209062	3203810	3219717	3255504	3276532(G)	3277179(G)	3184631(G)	3180680(D)
